,audience,comment,presents,share,url,Time
274,98,4,7,0,http://qiniuuwmp3.changba.com/1076497647.mp3,2018-06-28 00:00:00
275,146,3,2,0,http://upscuw.changba.com/1076495910.mp3,2018-06-28 00:00:00
276,763,14,23,3,http://upscuw.changba.com/1074869014.mp3,2018-06-23 00:00:00
277,144,2,0,0,http://upscuw.changba.com/1074852002.mp3,2018-06-23 00:00:00
278,85,1,3,0,http://upscuw.changba.com/1074527837.mp3,2018-06-22 00:00:00
279,109,3,6,0,http://qiniuuwmp3.changba.com/1074517455.mp3,2018-06-22 00:00:00
280,75,2,2,0,http://qiniuuwmp3.changba.com/1074509767.mp3,2018-06-22 00:00:00
281,134,7,16,0,http://upscuw.changba.com/1073937214.mp3,2018-06-20 00:00:00
282,165,4,10,2,http://qiniuuwmp3.changba.com/1073303393.mp3,2018-06-18 00:00:00
283,213,5,15,1,http://upscuw.changba.com/1072581502.mp3,2018-06-16 00:00:00
284,58,2,5,0,http://qiniuuwmp3.changba.com/1072552391.mp3,2018-06-16 00:00:00
285,108,4,5,0,http://qiniuuwmp3.changba.com/1072273186.mp3,2018-06-15 00:00:00
286,103,3,4,0,http://qiniuuwmp3.changba.com/1071688956.mp3,2018-06-13 00:00:00
287,101,1,11,0,http://qiniuuwmp3.changba.com/1071305283.mp3,2018-06-12 00:00:00
288,83,1,5,0,http://upscuw.changba.com/1071305208.mp3,2018-06-12 00:00:00
289,117,1,11,0,http://upscuw.changba.com/1071014708.mp3,2018-06-11 00:00:00
290,651,10,32,6,http://upscuw.changba.com/1069951416.mp3,2018-06-08 00:00:00
291,352,8,12,1,http://qiniuuwmp3.changba.com/1069254645.mp3,2018-06-06 00:00:00
292,155,3,14,3,http://upscuw.changba.com/1068297624.mp3,2018-06-03 00:00:00
293,228,5,3,1,http://upscuw.changba.com/1068263902.mp3,2018-06-03 00:00:00
294,151,5,15,1,http://upscuw.changba.com/1067264541.mp3,2018-05-31 00:00:00
295,157,6,10,0,http://upscuw.changba.com/1066692717.mp3,2018-05-29 00:00:00
296,258,6,10,2,http://qiniuuwmp3.changba.com/1065582093.mp3,2018-05-26 00:00:00
297,121,7,11,0,http://qiniuuwmp3.changba.com/1063970357.mp3,2018-05-21 00:00:00
298,130,2,2,0,http://upscuw.changba.com/1063956817.mp3,2018-05-21 00:00:00
299,173,5,16,1,http://qiniuuwmp3.changba.com/1063954286.mp3,2018-05-21 00:00:00
300,140,9,10,0,http://upscuw.changba.com/1063918304.mp3,2018-05-20 00:00:00
301,67,4,0,2,http://qiniuuwmp3.changba.com/1063650097.mp3,2018-05-20 00:00:00
302,71,2,9,0,http://qiniuuwmp3.changba.com/1063641271.mp3,2018-05-20 00:00:00
303,52,7,8,0,http://qiniuuwmp3.changba.com/1063189490.mp3,2018-05-19 00:00:00
